Query Name,Optimistic Hash Join Count
QJ10A1ID,1
QJ10A1TITLE,0
QJ10A2ID,3
QJ10A2TITLE,0
QJ10A4ID,2
QJ10A4TITLE,0
QJ10A6ID,1
QJ10A6TITLE,0
QJ10A8ID,1
QJ10A8TITLE,0
QJ11A1ID,1
QJ11A1TITLE,0
QJ11A2ID,3
QJ11A2TITLE,0
QJ11A4ID,1
QJ11A4TITLE,0
QJ11A6ID,1
QJ11A6TITLE,0
QJ11A8ID,1
QJ11A8TITLE,0
QJ12A1ID,0
QJ12A1TITLE,0
QJ12A2ID,0
QJ12A2TITLE,0
QJ12A4ID,1
QJ12A4TITLE,0
QJ12A6ID,0
QJ12A6TITLE,0
QJ12A8ID,1
QJ12A8TITLE,0
QJ13A1ID,0
QJ13A1TITLE,0
QJ13A2ID,0
QJ13A2TITLE,0
QJ13A4ID,2
QJ13A4TITLE,0
QJ13A6ID,0
QJ13A6TITLE,0
QJ13A8ID,1
QJ13A8TITLE,0
QJ14A1ID,1
QJ14A1TITLE,0
QJ14A2ID,2
QJ14A2TITLE,0
QJ14A4ID,4
QJ14A4TITLE,0
QJ14A6ID,1
QJ14A6TITLE,0
QJ14A8ID,1
QJ14A8TITLE,0
QJ15A1ID,2
QJ15A1TITLE,0
QJ15A2ID,5
QJ15A2TITLE,0
QJ15A4ID,1
QJ15A4TITLE,0
QJ15A6ID,0
QJ15A6TITLE,0
QJ15A8ID,0
QJ15A8TITLE,0
QJ2A1ID,0
QJ2A1TITLE,0
QJ2A2ID,0
QJ2A2TITLE,0
QJ3A1ID,1
QJ3A1TITLE,0
QJ3A2ID,1
QJ3A2TITLE,0
QJ3A4ID,0
QJ3A4TITLE,0
QJ4A1ID,0
QJ4A1TITLE,0
QJ4A2ID,0
QJ4A2TITLE,0
QJ4A4ID,0
QJ4A4TITLE,0
QJ5A1ID,1
QJ5A1TITLE,0
QJ5A2ID,0
QJ5A2TITLE,0
QJ5A4ID,0
QJ5A4TITLE,0
QJ5A6ID,0
QJ5A6TITLE,0
QJ6A1ID,1
QJ6A1TITLE,0
QJ6A2ID,1
QJ6A2TITLE,0
QJ6A4ID,1
QJ6A4TITLE,0
QJ6A6ID,1
QJ6A6TITLE,0
QJ7A1ID,1
QJ7A1TITLE,0
QJ7A2ID,1
QJ7A2TITLE,0
QJ7A4ID,1
QJ7A4TITLE,0
QJ7A6ID,1
QJ7A6TITLE,0
QJ7A8ID,1
QJ7A8TITLE,0
QJ8A1ID,1
QJ8A1TITLE,0
QJ8A2ID,1
QJ8A2TITLE,0
QJ8A4ID,1
QJ8A4TITLE,0
QJ8A6ID,1
QJ8A6TITLE,0
QJ8A8ID,1
QJ8A8TITLE,0
QJ9A1ID,1
QJ9A1TITLE,0
QJ9A2ID,2
QJ9A2TITLE,0
QJ9A4ID,2
QJ9A4TITLE,0
QJ9A6ID,1
QJ9A6TITLE,0
QJ9A8ID,1
QJ9A8TITLE,0
